geneID	A1AbRi	A5AbRi	A9AbRi	A2CRi	A6CRi	A10CRi	A3AbTo	A7AbTo	A11AbTo	A4CTo	A8CTo	A12CTo
ENSRNOG00000000217	11.38360408	12.75667049	7.991281944	17.61079745	9.983409589	9.553207736	3.851903714	3.83605269	1.910502183	2.494165149	3.326341321	3.759292234
ENSRNOG00000051114	0	0.123994226	0	0	0.205705077	0	0	0	0.066155588	0	0.06910939	0
ENSRNOG00000043363	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032914	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000039745	0.139776287	0.028526822	0.067907245	0.081135908	0.047325689	0.035814692	0.046029644	0.081493736	0.045660402	0.06577629	0.095398214	0
ENSRNOG00000045762	0	0	0	0	0	0.728579113	0	1.326263178	1.238494148	0	0	0
ENSRNOG00000020058	7.363918311	4.541084099	10.30957737	3.429514028	4.991819096	8.340022411	40.97693101	42.15100441	43.16254364	41.65321664	42.25350222	47.19347973
ENSRNOG00000021093	1.095112469	0.500641262	0.521395658	0.667463657	0.415279215	0.353555005	0.942448542	0.643591034	0.76794402	0.685403377	0.767352532	0.769161711
ENSRNOG00000017680	0.036276311	0.129563021	0.030842088	0	0	0	0	0.029610237	0	0.029874252	0.05777057	0
ENSRNOG00000020044	25.15801232	24.80733787	20.11061097	24.37548538	21.60372957	26.05632736	22.53547411	23.21349876	24.0221815	21.78780078	20.95765906	21.90737373
